N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
179,코스맥스,"125,000","2,500",+2.04%,500,"12,562","10,050",23.72,"91,540",58.77,6.23,
180,JB금융지주,"6,330",30,+0.48%,"5,000","12,469","196,983",40.17,"345,415",3.60,10.36,
181,KBSTAR 200,"41,580",145,+0.35%,0,"12,100","29,100",0.01,"98,398",N/A,N/A,
182,TIGER MSCI Korea TR,"16,670",5,-0.03%,0,"12,019","72,100",13.87,"40,600",N/A,N/A,
183,한미반도체,"24,300",500,-2.02%,200,"12,019","49,460",6.29,"386,538",25.18,21.03,
184,이노션,"59,900",300,+0.50%,500,"11,980","20,000",30.30,"18,882",18.87,8.28,
185,LG전자우,"69,400",100,-0.14%,"5,000","11,927","17,186",40.11,"61,061",6.38,N/A,
186,더블유게임즈,"64,500",800,+1.26%,500,"11,852","18,375",12.96,"318,130",10.53,16.94,
187,한올바이오파마,"22,650",0,0.00%,500,"11,832","52,241",6.26,"130,917",59.92,12.29,
188,KODEX 인버스,"4,000",10,-0.25%,0,"11,756","293,900",1.36,"49,723,265",N/A,N/A,
189,SK디스커버리,"61,600","1,800",+3.01%,"5,000","11,727","19,038",10.31,"165,651",4.04,11.52,
190,지누스,"81,200","1,900",-2.29%,500,"11,698","14,407",22.03,"36,021",27.88,11.61,
191,다우기술,"25,900",50,-0.19%,500,"11,620","44,867",22.02,"89,146",4.16,14.62,
192,KODEX 단기채권PLUS,"103,025",5,0.00%,0,"11,573","11,233",0.00,"2,730",N/A,N/A,
193,롯데칠성,"127,500","4,500",+3.66%,500,"11,443","8,975",10.34,"55,299",-91.27,-1.00,
194,영진약품,"6,190",50,-0.80%,500,"11,321","182,893",4.43,"312,464","-6,190.00",-0.12,
195,아시아나항공,"15,200",50,-0.33%,"5,000","11,311","74,412",19.62,"248,476",-1.31,-90.67,
196,LG상사,"29,150",850,+3.00%,"5,000","11,299","38,760",26.04,"300,092",3.80,23.72,
197,보령제약,"21,450",550,-2.50%,500,"11,180","52,120",6.71,"383,355",40.47,8.62,
198,TIGER 단기통안채,"100,125",5,0.00%,0,"10,988","10,974",1.08,"1,596",N/A,N/A,
199,금호타이어,"3,780",20,-0.53%,"5,000","10,858","287,260",5.25,"173,651",-13.08,-6.74,
200,세방전지,"76,800","1,400",-1.79%,500,"10,752","14,000",24.56,"84,641",16.23,6.14,
